index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,rate,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,250,27.12,39.12,10265559.04,1174.0,7927.377,2479.796,0
1,local,0,10,262144,512,2,16,1,250,29.49,38.49,10097786.88,1155.0,7520.181,2867.686,1
2,local,0,10,262144,512,2,16,1,250,28.44,38.65,10139729.92,1160.0,7467.434,2731.927,2
