index,build,test_index,numRounds,file_size,key_size,threads,LATENCY,run_index
150,local,50,5,32,8,8,0.000644,0
151,local,50,5,32,8,8,0.000775,1
152,local,50,5,32,8,8,0.000336,2
153,local,51,5,64,8,8,0.000706,0
154,local,51,5,64,8,8,0.000411,1
155,local,51,5,64,8,8,0.000523,2
156,local,52,5,8,16,8,0.000395,0
157,local,52,5,8,16,8,0.000359,1
158,local,52,5,8,16,8,0.000414,2
159,local,53,5,16,16,8,0.00053,0
160,local,53,5,16,16,8,0.000394,1
161,local,53,5,16,16,8,0.000421,2
162,local,54,5,32,16,8,0.000552,0
163,local,54,5,32,16,8,0.000537,1
164,local,54,5,32,16,8,0.000393,2
165,local,55,5,64,16,8,0.000519,0
166,local,55,5,64,16,8,0.000279,1
167,local,55,5,64,16,8,0.000402,2
168,local,56,5,8,32,8,0.000555,0
169,local,56,5,8,32,8,0.000562,1
170,local,56,5,8,32,8,0.000446,2
171,local,57,5,16,32,8,0.000531,0
172,local,57,5,16,32,8,0.000557,1
173,local,57,5,16,32,8,0.000387,2
174,local,58,5,32,32,8,0.000321,0
175,local,58,5,32,32,8,0.000445,1
176,local,58,5,32,32,8,0.000433,2
177,local,59,5,64,32,8,0.000533,0
178,local,59,5,64,32,8,0.00041,1
179,local,59,5,64,32,8,0.000398,2
180,local,60,5,8,64,8,0.000292,0
181,local,60,5,8,64,8,0.000429,1
182,local,60,5,8,64,8,0.000471,2
183,local,61,5,16,64,8,0.000337,0
184,local,61,5,16,64,8,0.0009,1
185,local,61,5,16,64,8,0.000587,2
186,local,62,5,32,64,8,0.000484,0
187,local,62,5,32,64,8,0.000504,1
188,local,62,5,32,64,8,0.000593,2
189,local,63,5,64,64,8,0.000449,0
190,local,63,5,64,64,8,0.000546,1
191,local,63,5,64,64,8,0.00071,2
