index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,RATE,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,6,0.50227,6.75,1772093.44,135.0,196.827,86.531,0
1,local,0,10,262144,512,2,16,1,6,0.37299,6.6,1730150.4,132.0,174.338,67.444,1
2,local,0,10,262144,512,2,16,1,6,0.36069999999999997,6.6,1730150.4,132.0,175.131,66.291,2
