index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,RATE,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,7,0.38195,6.6,1730150.4,132.0,176.702,68.761,0
1,local,0,10,262144,512,2,16,1,7,0.45439999999999997,6.75,1772093.44,135.0,199.451,84.747,1
2,local,0,10,262144,512,2,16,1,7,0.35302,6.6,1730150.4,132.0,167.216,64.333,2
