index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,RATE,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,3,0.18496,2.15,563548.16,43.0,117.002,23.675,0
1,local,0,10,262144,512,2,16,1,3,0.15462,2.2,576716.8,44.0,114.907,15.835,1
2,local,0,10,262144,512,2,16,1,3,0.16741999999999999,2.15,563548.16,43.0,120.246,20.85,2
