index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,RATE,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,8,0.94157,8.3,2181038.08,166.0,378.843,193.085,0
1,local,0,10,262144,512,2,16,1,8,0.69529,8.15,2139095.04,163.0,311.72,147.342,1
2,local,0,10,262144,512,2,16,1,8,0.6742999999999999,8.35,2191523.84,167.0,316.305,168.826,2
