index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,17.81,31.79,8336179.2,954.0,14698.477,2741.289,0
1,local,0,10,262144,512,2,16,1,18.14,30.49,8000634.88,915.0,14195.46,3065.537,1
2,local,0,10,262144,512,2,16,1,28.31,30.99,8126464.0,930.0,8382.847,2813.096,2
3,local,0,10,262144,512,2,16,1,28.51,30.72,8053063.68,922.0,8407.814,2757.279,3
