index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,RATE,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,9,0.6057,8.25,2160066.56,165.0,319.07,150.873,0
1,local,0,10,262144,512,2,16,1,9,0.69325,8.35,2191523.84,167.0,305.011,154.712,1
2,local,0,10,262144,512,2,16,1,9,0.7592899999999999,8.15,2139095.04,163.0,331.281,162.662,2
