index,build,test_index,numRounds,file_size,key_size,threads,LATENCY,REQ,run_index
109,local,36,5,8,16,6,0.0011200000000000001,16.46,1
110,local,36,5,8,16,6,0.00092,16.7,2
111,local,37,5,16,16,6,0.00092,16.77,0
112,local,37,5,16,16,6,0.00086,16.72,1
113,local,37,5,16,16,6,0.00098,16.69,2
114,local,38,5,32,16,6,0.00093,16.48,0
115,local,38,5,32,16,6,0.0013700000000000001,16.77,1
116,local,38,5,32,16,6,0.00114,16.73,2
117,local,39,5,64,16,6,0.0011,16.65,0
118,local,39,5,64,16,6,0.00098,16.68,1
119,local,39,5,64,16,6,0.00126,16.77,2
120,local,40,5,8,32,6,0.00114,16.63,0
121,local,40,5,8,32,6,0.00102,16.75,1
122,local,40,5,8,32,6,0.00047,16.47,2
123,local,41,5,16,32,6,0.000778,16.74,0
124,local,41,5,16,32,6,0.00133,16.79,1
125,local,41,5,16,32,6,0.0011899999999999999,16.48,2
126,local,42,5,32,32,6,0.00098,16.53,0
127,local,42,5,32,32,6,0.0020499999999999997,16.65,1
128,local,42,5,32,32,6,0.00086,16.69,2
129,local,43,5,64,32,6,0.0015,16.86,0
130,local,43,5,64,32,6,0.00091,16.57,1
131,local,43,5,64,32,6,0.000826,16.57,2
132,local,44,5,8,64,6,0.00135,16.46,0
133,local,44,5,8,64,6,0.00093,16.47,1
134,local,44,5,8,64,6,0.0011899999999999999,16.73,2
135,local,45,5,16,64,6,0.00133,16.74,0
136,local,45,5,16,64,6,0.000717,16.51,1
137,local,45,5,16,64,6,0.0011,16.65,2
138,local,46,5,32,64,6,0.0010500000000000002,16.64,0
139,local,46,5,32,64,6,0.00085,16.73,1
140,local,46,5,32,64,6,0.00128,16.89,2
141,local,47,5,64,64,6,0.00139,16.77,0
142,local,47,5,64,64,6,0.00149,16.62,1
143,local,47,5,64,64,6,0.00198,16.78,2
144,local,48,5,8,8,8,0.00124,12.39,0
145,local,48,5,8,8,8,0.00087,12.51,1
146,local,48,5,8,8,8,0.0018,12.47,2
147,local,49,5,16,8,8,0.00155,12.43,0
148,local,49,5,16,8,8,0.0012900000000000001,12.64,1
149,local,49,5,16,8,8,0.0012900000000000001,12.52,2
150,local,50,5,32,8,8,0.0015400000000000001,12.54,0
151,local,50,5,32,8,8,0.00095,12.51,1
152,local,50,5,32,8,8,0.00092,12.57,2
153,local,51,5,64,8,8,0.00174,12.58,0
154,local,51,5,64,8,8,0.00133,12.41,1
155,local,51,5,64,8,8,0.00128,12.45,2
156,local,52,5,8,16,8,0.0010400000000000001,12.4,0
157,local,52,5,8,16,8,0.0011,12.39,1
158,local,52,5,8,16,8,0.0015400000000000001,12.47,2
159,local,53,5,16,16,8,0.0012,12.48,0
160,local,53,5,16,16,8,0.00139,12.52,1
161,local,53,5,16,16,8,0.0016200000000000001,12.5,2
162,local,54,5,32,16,8,0.00124,12.46,0
163,local,54,5,32,16,8,0.0020099999999999996,12.56,1
164,local,54,5,32,16,8,0.00124,12.45,2
165,local,55,5,64,16,8,0.00141,12.38,0
166,local,55,5,64,16,8,0.00131,12.5,1
167,local,55,5,64,16,8,0.00126,12.49,2
168,local,56,5,8,32,8,0.0014399999999999999,12.52,0
169,local,56,5,8,32,8,0.00121,12.54,1
170,local,56,5,8,32,8,0.0016200000000000001,12.45,2
171,local,57,5,16,32,8,0.0012900000000000001,12.39,0
172,local,57,5,16,32,8,0.00091,12.56,1
173,local,57,5,16,32,8,0.00088,12.4,2
174,local,58,5,32,32,8,0.00138,12.44,0
175,local,58,5,32,32,8,0.00149,12.45,1
176,local,58,5,32,32,8,0.00127,12.47,2
177,local,59,5,64,32,8,0.000829,12.33,0
178,local,59,5,64,32,8,0.00121,12.54,1
179,local,59,5,64,32,8,0.00107,12.5,2
180,local,60,5,8,64,8,0.0010500000000000002,12.55,0
181,local,60,5,8,64,8,0.0012900000000000001,12.24,1
182,local,60,5,8,64,8,0.000809,12.52,2
183,local,61,5,16,64,8,0.0009699999999999999,12.52,0
184,local,61,5,16,64,8,0.0009699999999999999,12.38,1
185,local,61,5,16,64,8,0.00133,12.49,2
186,local,62,5,32,64,8,0.00124,12.45,0
187,local,62,5,32,64,8,0.00102,12.47,1
188,local,62,5,32,64,8,0.00107,12.37,2
189,local,63,5,64,64,8,0.00204,12.53,0
190,local,63,5,64,64,8,0.0015300000000000001,12.47,1
191,local,63,5,64,64,8,0.00163,12.5,2
