index,build,test_index,numRounds,file_size,key_size,threads,LATENCY,run_index
150,local,50,5,32,8,8,0.000418,0
151,local,50,5,32,8,8,0.000269,1
152,local,50,5,32,8,8,0.000678,2
153,local,51,5,64,8,8,0.000388,0
154,local,51,5,64,8,8,0.000684,1
155,local,51,5,64,8,8,0.000571,2
156,local,52,5,8,16,8,0.000572,0
157,local,52,5,8,16,8,0.000731,1
158,local,52,5,8,16,8,0.000656,2
159,local,53,5,16,16,8,0.000766,0
160,local,53,5,16,16,8,0.000459,1
161,local,53,5,16,16,8,0.000308,2
162,local,54,5,32,16,8,0.00041,0
163,local,54,5,32,16,8,0.000516,1
164,local,54,5,32,16,8,0.0022400000000000002,2
165,local,55,5,64,16,8,0.00043,0
166,local,55,5,64,16,8,0.000581,1
167,local,55,5,64,16,8,0.000589,2
168,local,56,5,8,32,8,0.000491,0
169,local,56,5,8,32,8,0.000592,1
170,local,56,5,8,32,8,0.00121,2
171,local,57,5,16,32,8,0.000551,0
172,local,57,5,16,32,8,0.000772,1
173,local,57,5,16,32,8,0.00106,2
174,local,58,5,32,32,8,0.000417,0
175,local,58,5,32,32,8,0.000538,1
176,local,58,5,32,32,8,0.000567,2
177,local,59,5,64,32,8,0.000754,0
178,local,59,5,64,32,8,0.000502,1
179,local,59,5,64,32,8,0.000728,2
180,local,60,5,8,64,8,0.000509,0
181,local,60,5,8,64,8,0.000363,1
182,local,60,5,8,64,8,0.000651,2
183,local,61,5,16,64,8,0.000509,0
184,local,61,5,16,64,8,0.000451,1
185,local,61,5,16,64,8,0.000448,2
186,local,62,5,32,64,8,0.000428,0
187,local,62,5,32,64,8,0.000471,1
188,local,62,5,32,64,8,0.000451,2
189,local,63,5,64,64,8,0.00035,0
190,local,63,5,64,64,8,0.000442,1
191,local,63,5,64,64,8,0.000341,2
