index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,TRANSFER,run_index
83,local,27,1,32,32,4,200,0.00754,53.49,32778.24,2
84,local,28,10,32,32,4,200,0.00817,53.25,32778.24,0
85,local,28,10,32,32,4,200,0.008,53.42,32778.24,1
86,local,28,10,32,32,4,200,0.00642,53.47,32778.24,2
87,local,29,100,32,32,4,200,0.00805,53.63,32778.24,0
88,local,29,100,32,32,4,200,0.0062900000000000005,53.49,32778.24,1
89,local,29,100,32,32,4,200,0.0011899999999999999,53.59,32778.24,2
90,local,30,1,128,32,4,200,0.008150000000000001,53.56,49766.4,0
91,local,30,1,128,32,4,200,0.00819,53.64,49756.16,1
92,local,30,1,128,32,4,200,0.00745,53.5,49756.16,2
93,local,31,10,128,32,4,200,0.00827,53.27,49766.4,0
94,local,31,10,128,32,4,200,0.000648,53.32,49756.16,1
95,local,31,10,128,32,4,200,0.00631,53.5,49766.4,2
96,local,32,100,128,32,4,200,0.00865,53.28,49756.16,0
97,local,32,100,128,32,4,200,0.00868,53.22,49766.4,1
98,local,32,100,128,32,4,200,0.0072699999999999996,53.5,49756.16,2
99,local,33,1,256,32,4,200,0.000786,53.38,80947.2,0
100,local,33,1,256,32,4,200,0.00398,53.31,80936.96,1
101,local,33,1,256,32,4,200,0.00828,53.25,80947.2,2
102,local,34,10,256,32,4,200,0.00809,53.24,80947.2,0
103,local,34,10,256,32,4,200,0.00802,53.5,80936.96,1
104,local,34,10,256,32,4,200,0.0075899999999999995,53.29,80926.72,2
105,local,35,100,256,32,4,200,0.009640000000000001,53.11,80936.96,0
106,local,35,100,256,32,4,200,0.01086,53.16,80936.96,1
107,local,35,100,256,32,4,200,0.00524,53.48,80926.72,2
108,local,36,1,32,128,4,200,0.00497,53.2,32778.24,0
109,local,36,1,32,128,4,200,0.00819,53.38,32778.24,1
110,local,36,1,32,128,4,200,0.0077800000000000005,53.15,32768.0,2
111,local,37,10,32,128,4,200,0.00722,53.27,32778.24,0
112,local,37,10,32,128,4,200,0.00095,53.5,32768.0,1
113,local,37,10,32,128,4,200,0.0044800000000000005,53.4,32778.24,2
114,local,38,100,32,128,4,200,0.00644,53.43,32778.24,0
115,local,38,100,32,128,4,200,0.00432,53.26,32778.24,1
116,local,38,100,32,128,4,200,0.00753,53.11,32778.24,2
117,local,39,1,128,128,4,200,0.000717,53.44,49766.4,0
118,local,39,1,128,128,4,200,0.0075,53.36,49766.4,1
119,local,39,1,128,128,4,200,0.0035800000000000003,53.2,49756.16,2
120,local,40,10,128,128,4,200,0.00878,53.28,49766.4,0
121,local,40,10,128,128,4,200,0.00788,53.4,49766.4,1
122,local,40,10,128,128,4,200,0.0035499999999999998,53.17,49766.4,2
123,local,41,100,128,128,4,200,0.00869,53.37,49766.4,0
124,local,41,100,128,128,4,200,0.00447,53.35,49756.16,1
125,local,41,100,128,128,4,200,0.00996,53.37,49756.16,2
126,local,42,1,256,128,4,200,0.00723,52.99,80947.2,0
127,local,42,1,256,128,4,200,0.00797,53.81,80936.96,1
128,local,42,1,256,128,4,200,0.00788,53.33,80261.12,2
129,local,43,10,256,128,4,200,0.00846,53.31,80926.72,0
130,local,43,10,256,128,4,200,0.00835,53.46,80926.72,1
131,local,43,10,256,128,4,200,0.0024300000000000003,53.25,80926.72,2
132,local,44,100,256,128,4,200,0.013269999999999999,52.77,80240.64,0
133,local,44,100,256,128,4,200,0.01328,52.75,80936.96,1
134,local,44,100,256,128,4,200,0.013359999999999999,52.93,80936.96,2
135,local,45,1,32,256,4,200,0.00739,53.42,32778.24,0
136,local,45,1,32,256,4,200,0.00824,53.4,32768.0,1
137,local,45,1,32,256,4,200,0.00859,53.4,32778.24,2
138,local,46,10,32,256,4,200,0.00072,53.53,32778.24,0
139,local,46,10,32,256,4,200,0.00846,53.85,32778.24,1
140,local,46,10,32,256,4,200,0.008140000000000001,53.43,32778.24,2
141,local,47,100,32,256,4,200,0.00821,53.48,32778.24,0
142,local,47,100,32,256,4,200,0.00551,53.25,32778.24,1
143,local,47,100,32,256,4,200,0.00595,53.24,32757.76,2
144,local,48,1,128,256,4,200,0.00721,53.43,49766.4,0
145,local,48,1,128,256,4,200,0.00736,53.35,49766.4,1
146,local,48,1,128,256,4,200,0.008119999999999999,53.28,49766.4,2
147,local,49,10,128,256,4,200,0.00725,53.63,49756.16,0
148,local,49,10,128,256,4,200,0.008199999999999999,53.55,49766.4,1
149,local,49,10,128,256,4,200,0.00688,53.21,49766.4,2
150,local,50,100,128,256,4,200,0.01076,53.31,49756.16,0
151,local,50,100,128,256,4,200,0.0108,53.24,49766.4,1
152,local,50,100,128,256,4,200,0.0087,53.44,49756.16,2
153,local,51,1,256,256,4,200,0.00852,53.45,80936.96,0
154,local,51,1,256,256,4,200,0.00858,53.46,80936.96,1
155,local,51,1,256,256,4,200,0.00393,53.42,80947.2,2
156,local,52,10,256,256,4,200,0.00841,53.38,80936.96,0
157,local,52,10,256,256,4,200,0.009089999999999999,53.24,80936.96,1
158,local,52,10,256,256,4,200,0.008539999999999999,53.25,80936.96,2
159,local,53,100,256,256,4,200,0.01656,51.56,80250.88,0
160,local,53,100,256,256,4,200,0.019170000000000003,51.76,80926.72,1
161,local,53,100,256,256,4,200,0.0173,51.77,80916.48,2
162,local,54,1,32,32,6,200,0.00756,34.61,32471.04,0
163,local,54,1,32,32,6,200,0.000622,34.91,32460.8,1
164,local,54,1,32,32,6,200,0.000572,35.03,32460.8,2
165,local,55,10,32,32,6,200,0.008539999999999999,34.84,32471.04,0
166,local,55,10,32,32,6,200,0.00891,34.7,32471.04,1
167,local,55,10,32,32,6,200,0.00409,34.75,32471.04,2
168,local,56,100,32,32,6,200,0.000745,34.87,32460.8,0
169,local,56,100,32,32,6,200,0.00885,34.73,32471.04,1
170,local,56,100,32,32,6,200,0.000789,34.89,32471.04,2
171,local,57,1,128,32,6,200,0.001,35.02,49295.36,0
172,local,57,1,128,32,6,200,0.00614,34.92,49295.36,1
173,local,57,1,128,32,6,200,0.0032400000000000003,34.82,49295.36,2
174,local,58,10,128,32,6,200,0.006849999999999999,34.76,49295.36,0
175,local,58,10,128,32,6,200,0.0062900000000000005,34.97,49295.36,1
176,local,58,10,128,32,6,200,0.00868,34.87,49295.36,2
177,local,59,100,128,32,6,200,0.01488,34.74,49295.36,0
178,local,59,100,128,32,6,200,0.01177,26.41,700.79,1
179,local,59,100,128,32,6,200,0.0031,34.72,34037.76,2
180,local,59,100,128,32,6,200,,,49295.36,3
181,local,60,1,256,32,6,200,0.00315,34.83,80189.44,0
182,local,60,1,256,32,6,200,0.008490000000000001,34.81,80189.44,1
183,local,60,1,256,32,6,200,0.0011899999999999999,34.82,80189.44,2
184,local,61,10,256,32,6,200,0.00834,34.82,80189.44,0
185,local,61,10,256,32,6,200,0.00505,34.83,80189.44,1
186,local,61,10,256,32,6,200,0.0081,34.84,80189.44,2
187,local,62,100,256,32,6,200,0.01516,35.03,80179.2,0
188,local,62,100,256,32,6,200,0.010060000000000001,34.65,80179.2,1
189,local,62,100,256,32,6,200,0.00721,34.77,80179.2,2
190,local,63,1,32,128,6,200,0.008,34.8,32471.04,0
191,local,63,1,32,128,6,200,0.0019199999999999998,34.77,32471.04,1
192,local,63,1,32,128,6,200,0.008150000000000001,34.7,32471.04,2
193,local,64,10,32,128,6,200,0.00126,34.71,32471.04,0
194,local,64,10,32,128,6,200,0.00796,34.78,32460.8,1
195,local,64,10,32,128,6,200,0.00775,34.77,32471.04,2
196,local,65,100,32,128,6,200,0.0086,34.8,32471.04,0
197,local,65,100,32,128,6,200,0.00222,34.72,32460.8,1
198,local,65,100,32,128,6,200,0.00845,34.72,32471.04,2
199,local,66,1,128,128,6,200,0.00442,34.66,49295.36,0
200,local,66,1,128,128,6,200,0.00683,34.74,49295.36,1
201,local,66,1,128,128,6,200,0.0008900000000000001,34.68,49305.6,2
202,local,67,10,128,128,6,200,0.0079,34.77,49295.36,0
203,local,67,10,128,128,6,200,0.004200000000000001,34.72,49295.36,1
204,local,67,10,128,128,6,200,0.00839,34.69,49295.36,2
205,local,68,100,128,128,6,200,0.00604,34.65,49295.36,0
206,local,68,100,128,128,6,200,0.00601,34.73,49295.36,1
207,local,68,100,128,128,6,200,0.0037,34.71,49295.36,2
208,local,69,1,256,128,6,200,0.00861,34.68,80189.44,0
209,local,69,1,256,128,6,200,0.00637,34.77,80189.44,1
210,local,69,1,256,128,6,200,0.0087,34.78,80189.44,2
211,local,70,10,256,128,6,200,0.00889,34.8,80189.44,0
212,local,70,10,256,128,6,200,0.008490000000000001,34.89,80189.44,1
213,local,70,10,256,128,6,200,0.00862,34.82,80189.44,2
214,local,71,100,256,128,6,200,0.01013,34.71,80179.2,0
215,local,71,100,256,128,6,200,0.013730000000000001,34.58,80158.72,1
216,local,71,100,256,128,6,200,0.01173,34.76,80179.2,2
217,local,72,1,32,256,6,200,0.00805,34.82,32460.8,0
218,local,72,1,32,256,6,200,0.00822,34.67,32471.04,1
219,local,72,1,32,256,6,200,0.00825,34.8,32471.04,2
220,local,73,10,32,256,6,200,0.0019399999999999999,34.81,32471.04,0
221,local,73,10,32,256,6,200,0.00141,34.88,32471.04,1
222,local,73,10,32,256,6,200,0.00779,34.87,32471.04,2
223,local,74,100,32,256,6,200,0.00813,34.96,32471.04,0
224,local,74,100,32,256,6,200,0.00796,34.73,32471.04,1
225,local,74,100,32,256,6,200,0.00175,34.77,32471.04,2
226,local,75,1,128,256,6,200,0.0009599999999999999,34.81,49295.36,0
227,local,75,1,128,256,6,200,0.000754,34.77,49305.6,1
228,local,75,1,128,256,6,200,0.00788,34.71,49295.36,2
229,local,76,10,128,256,6,200,0.00855,34.83,49285.12,0
230,local,76,10,128,256,6,200,0.008029999999999999,34.86,49295.36,1
231,local,76,10,128,256,6,200,0.00539,34.79,49305.6,2
232,local,77,100,128,256,6,200,0.01308,34.81,49295.36,0
233,local,77,100,128,256,6,200,0.01109,34.78,49295.36,1
234,local,77,100,128,256,6,200,0.01011,34.65,49285.12,2
235,local,78,1,256,256,6,200,0.00859,34.68,80189.44,0
236,local,78,1,256,256,6,200,0.00141,34.71,80189.44,1
237,local,78,1,256,256,6,200,0.00831,34.7,79738.88,2
238,local,79,10,256,256,6,200,0.00868,34.76,80168.96,0
239,local,79,10,256,256,6,200,0.0087,34.66,79738.88,1
240,local,79,10,256,256,6,200,0.00543,34.71,80168.96,2
241,local,80,100,256,256,6,200,0.01583,34.23,80158.72,0
242,local,80,100,256,256,6,200,0.01503,34.26,80148.48,1
243,local,80,100,256,256,6,200,0.01899,34.26,80168.96,2
244,local,81,1,32,32,2,400,0.00801,212.41,65546.24,0
245,local,81,1,32,32,2,400,0.008119999999999999,212.78,65556.48,1
246,local,81,1,32,32,2,400,0.0086,212.69,65546.24,2
247,local,82,10,32,32,2,400,0.01503,212.59,65546.24,0
248,local,82,10,32,32,2,400,0.00797,213.3,65546.24,1
249,local,82,10,32,32,2,400,0.00188,212.9,65546.24,2
250,local,83,100,32,32,2,400,0.00802,212.79,65556.48,0
251,local,83,100,32,32,2,400,0.00786,213.78,65546.24,1
252,local,83,100,32,32,2,400,0.00861,213.17,65546.24,2
253,local,84,1,128,32,2,400,0.013630000000000001,213.89,99522.56,0
254,local,84,1,128,32,2,400,0.0176,213.03,99522.56,1
255,local,84,1,128,32,2,400,0.00881,213.33,99522.56,2
256,local,85,10,128,32,2,400,0.02278,214.0,99532.8,0
257,local,85,10,128,32,2,400,0.00834,213.76,99522.56,1
258,local,85,10,128,32,2,400,0.02289,213.34,99522.56,2
259,local,86,100,128,32,2,400,0.00894,212.79,99522.56,0
260,local,86,100,128,32,2,400,0.01116,213.0,99522.56,1
261,local,86,100,128,32,2,400,0.015050000000000001,213.3,99532.8,2
262,local,87,1,256,32,2,400,0.00729,213.61,161873.92,0
263,local,87,1,256,32,2,400,0.00789,212.72,161884.16,1
264,local,87,1,256,32,2,400,0.01235,213.82,159180.8,2
265,local,88,10,256,32,2,400,0.008199999999999999,213.43,161873.92,0
266,local,88,10,256,32,2,400,0.00785,213.23,161884.16,1
267,local,88,10,256,32,2,400,0.01133,213.1,161884.16,2
268,local,89,100,256,32,2,400,0.01761,212.65,161873.92,0
269,local,89,100,256,32,2,400,0.020030000000000003,212.55,161873.92,1
270,local,89,100,256,32,2,400,0.01065,212.44,161884.16,2
271,local,90,1,32,128,2,400,0.00641,212.69,65546.24,0
272,local,90,1,32,128,2,400,0.00847,212.41,65546.24,1
273,local,90,1,32,128,2,400,0.00876,212.7,65556.48,2
274,local,91,10,32,128,2,400,0.0028399999999999996,213.02,65546.24,0
275,local,91,10,32,128,2,400,0.00878,212.98,65546.24,1
276,local,91,10,32,128,2,400,0.01509,212.8,65546.24,2
277,local,92,100,32,128,2,400,0.00902,212.6,65546.24,0
278,local,92,100,32,128,2,400,0.01575,212.58,65546.24,1
279,local,92,100,32,128,2,400,0.00811,212.27,65546.24,2
280,local,93,1,128,128,2,400,0.00846,212.47,99522.56,0
281,local,93,1,128,128,2,400,0.00615,211.99,99522.56,1
282,local,93,1,128,128,2,400,0.015529999999999999,212.91,99522.56,2
283,local,94,10,128,128,2,400,0.010289999999999999,213.38,99532.8,0
284,local,94,10,128,128,2,400,0.01109,212.14,99522.56,1
285,local,94,10,128,128,2,400,0.00867,213.02,99522.56,2
286,local,95,100,128,128,2,400,0.00863,211.93,99522.56,0
287,local,95,100,128,128,2,400,0.00934,211.85,99522.56,1
288,local,95,100,128,128,2,400,0.00962,212.31,99522.56,2
289,local,96,1,256,128,2,400,0.0108,212.67,161873.92,0
