index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
101,local,33,1,64,32,2,100,0.000495,52.09,2
102,local,34,10,64,32,2,100,0.000685,51.92,0
103,local,34,10,64,32,2,100,0.000458,52.49,1
104,local,34,10,64,32,2,100,0.000796,52.36,2
105,local,35,100,64,32,2,100,0.003,52.17,0
106,local,35,100,64,32,2,100,0.00131,51.97,1
107,local,35,100,64,32,2,100,0.000555,53.12,2
108,local,36,1,8,64,2,100,0.000842,52.56,0
109,local,36,1,8,64,2,100,0.0009599999999999999,52.42,1
110,local,36,1,8,64,2,100,0.000818,51.73,2
111,local,37,10,8,64,2,100,0.000794,52.67,0
112,local,37,10,8,64,2,100,0.000545,52.22,1
113,local,37,10,8,64,2,100,0.000559,52.92,2
114,local,38,100,8,64,2,100,0.00086,53.14,0
115,local,38,100,8,64,2,100,0.00128,52.74,1
116,local,38,100,8,64,2,100,0.000678,52.66,2
117,local,39,1,16,64,2,100,0.00102,52.95,0
118,local,39,1,16,64,2,100,0.000497,53.04,1
119,local,39,1,16,64,2,100,0.000797,52.34,2
120,local,40,10,16,64,2,100,0.000795,52.34,0
121,local,40,10,16,64,2,100,0.000495,52.67,1
122,local,40,10,16,64,2,100,0.00043,52.52,2
123,local,41,100,16,64,2,100,0.0011,52.42,0
124,local,41,100,16,64,2,100,0.00133,52.15,1
125,local,41,100,16,64,2,100,0.000618,52.21,2
126,local,42,1,32,64,2,100,0.000284,52.34,0
127,local,42,1,32,64,2,100,0.0011,52.21,1
128,local,42,1,32,64,2,100,0.00121,52.22,2
129,local,43,10,32,64,2,100,0.0011200000000000001,52.03,0
130,local,43,10,32,64,2,100,0.000839,52.7,1
131,local,43,10,32,64,2,100,0.0012,52.02,2
132,local,44,100,32,64,2,100,0.0016200000000000001,52.17,0
133,local,44,100,32,64,2,100,0.00075,52.65,1
134,local,44,100,32,64,2,100,0.00115,52.82,2
135,local,45,1,64,64,2,100,0.000712,52.18,0
136,local,45,1,64,64,2,100,0.00108,52.42,1
137,local,45,1,64,64,2,100,0.00077,52.3,2
138,local,46,10,64,64,2,100,0.00083,52.19,0
139,local,46,10,64,64,2,100,0.00094,52.03,1
140,local,46,10,64,64,2,100,0.00107,52.29,2
141,local,47,100,64,64,2,100,0.00425,52.45,0
142,local,47,100,64,64,2,100,0.0041600000000000005,51.88,1
143,local,47,100,64,64,2,100,0.00454,52.42,2
144,local,48,1,8,8,4,100,0.00108,26.13,0
145,local,48,1,8,8,4,100,0.00113,26.27,1
146,local,48,1,8,8,4,100,0.00095,26.38,2
147,local,49,10,8,8,4,100,0.00116,26.19,0
148,local,49,10,8,8,4,100,0.0010400000000000001,25.87,1
149,local,49,10,8,8,4,100,0.00092,26.19,2
150,local,50,100,8,8,4,100,0.00116,26.46,0
151,local,50,100,8,8,4,100,0.0009699999999999999,26.1,1
152,local,50,100,8,8,4,100,0.000732,26.32,2
153,local,51,1,16,8,4,100,0.000283,25.51,0
154,local,51,1,16,8,4,100,0.31232,25.87,1
155,local,51,1,16,8,4,100,0.00088,25.76,2
156,local,52,10,16,8,4,100,0.02838,25.87,0
157,local,52,10,16,8,4,100,0.000785,25.68,1
158,local,52,10,16,8,4,100,0.000252,25.43,2
159,local,53,100,16,8,4,100,0.000391,25.98,0
160,local,53,100,16,8,4,100,0.00109,25.8,1
161,local,53,100,16,8,4,100,0.00085,25.96,2
162,local,54,1,32,8,4,100,0.000787,26.16,0
163,local,54,1,32,8,4,100,0.00093,26.18,1
164,local,54,1,32,8,4,100,0.00086,26.17,2
165,local,55,10,32,8,4,100,0.0010500000000000002,26.21,0
166,local,55,10,32,8,4,100,0.00088,26.18,1
167,local,55,10,32,8,4,100,0.00165,26.2,2
168,local,56,100,32,8,4,100,0.00095,26.08,0
169,local,56,100,32,8,4,100,0.00131,26.19,1
170,local,56,100,32,8,4,100,0.000821,26.14,2
171,local,57,1,64,8,4,100,0.00099,26.11,0
172,local,57,1,64,8,4,100,0.0011799999999999998,26.1,1
173,local,57,1,64,8,4,100,0.00102,26.08,2
174,local,58,10,64,8,4,100,0.000829,26.0,0
175,local,58,10,64,8,4,100,0.00099,26.21,1
176,local,58,10,64,8,4,100,0.000799,26.09,2
177,local,59,100,64,8,4,100,0.00175,26.53,0
178,local,59,100,64,8,4,100,0.00244,26.15,1
179,local,59,100,64,8,4,100,0.0017900000000000001,26.34,2
180,local,60,1,8,16,4,100,0.000848,26.11,0
181,local,60,1,8,16,4,100,0.0009599999999999999,26.09,1
182,local,60,1,8,16,4,100,0.00091,26.35,2
183,local,61,10,8,16,4,100,0.000802,26.08,0
184,local,61,10,8,16,4,100,0.000412,26.1,1
185,local,61,10,8,16,4,100,0.25856,25.96,2
186,local,62,100,8,16,4,100,0.00086,26.08,0
187,local,62,100,8,16,4,100,0.000474,25.47,1
188,local,62,100,8,16,4,100,0.000264,25.82,2
189,local,63,1,16,16,4,100,0.000303,25.49,0
190,local,63,1,16,16,4,100,0.000455,25.61,1
191,local,63,1,16,16,4,100,0.000354,25.6,2
192,local,64,10,16,16,4,100,0.000226,25.57,0
193,local,64,10,16,16,4,100,0.000307,25.54,1
194,local,64,10,16,16,4,100,0.00022,25.47,2
195,local,65,100,16,16,4,100,0.000234,25.5,0
196,local,65,100,16,16,4,100,0.000206,25.45,1
197,local,65,100,16,16,4,100,0.00021,26.0,2
198,local,66,1,32,16,4,100,0.000194,25.41,0
199,local,66,1,32,16,4,100,0.000229,25.39,1
200,local,66,1,32,16,4,100,0.00021,25.42,2
201,local,67,10,32,16,4,100,0.000314,25.41,0
202,local,67,10,32,16,4,100,0.00108,26.27,1
203,local,67,10,32,16,4,100,0.00101,26.21,2
204,local,68,100,32,16,4,100,0.000622,25.71,0
205,local,68,100,32,16,4,100,0.00123,26.12,1
206,local,68,100,32,16,4,100,0.00113,25.66,2
207,local,69,1,64,16,4,100,0.001,25.78,0
208,local,69,1,64,16,4,100,0.00094,26.0,1
209,local,69,1,64,16,4,100,0.00103,26.25,2
210,local,70,10,64,16,4,100,0.00088,26.01,0
211,local,70,10,64,16,4,100,0.000797,25.89,1
212,local,70,10,64,16,4,100,0.00115,25.9,2
213,local,71,100,64,16,4,100,0.00242,26.23,0
214,local,71,100,64,16,4,100,0.00239,25.84,1
215,local,71,100,64,16,4,100,0.00268,26.19,2
216,local,72,1,8,32,4,100,0.00111,26.13,0
217,local,72,1,8,32,4,100,0.000708,26.31,1
218,local,72,1,8,32,4,100,0.00091,25.55,2
219,local,73,10,8,32,4,100,0.00189,26.14,0
220,local,73,10,8,32,4,100,0.000521,25.91,1
221,local,73,10,8,32,4,100,0.000697,26.06,2
222,local,74,100,8,32,4,100,0.0011799999999999998,26.07,0
223,local,74,100,8,32,4,100,0.00103,26.22,1
224,local,74,100,8,32,4,100,0.0009699999999999999,25.67,2
225,local,75,1,16,32,4,100,0.000736,26.07,0
226,local,75,1,16,32,4,100,0.00095,25.78,1
227,local,75,1,16,32,4,100,0.000816,25.92,2
228,local,76,10,16,32,4,100,0.00103,26.43,0
229,local,76,10,16,32,4,100,0.00146,25.9,1
230,local,76,10,16,32,4,100,0.0008900000000000001,26.09,2
231,local,77,100,16,32,4,100,0.00026,26.01,0
232,local,77,100,16,32,4,100,0.0017,26.01,1
233,local,77,100,16,32,4,100,0.000623,25.68,2
234,local,78,1,32,32,4,100,0.000807,25.73,0
235,local,78,1,32,32,4,100,0.0012,26.19,1
236,local,78,1,32,32,4,100,0.00088,26.02,2
237,local,79,10,32,32,4,100,0.000458,25.87,0
238,local,79,10,32,32,4,100,0.0016699999999999998,25.59,1
239,local,79,10,32,32,4,100,0.00113,25.85,2
240,local,80,100,32,32,4,100,0.0011899999999999999,26.04,0
241,local,80,100,32,32,4,100,0.00171,26.25,1
242,local,80,100,32,32,4,100,0.000802,25.99,2
243,local,81,1,64,32,4,100,0.000663,26.09,0
244,local,81,1,64,32,4,100,0.000568,26.13,1
245,local,81,1,64,32,4,100,0.00123,26.2,2
246,local,82,10,64,32,4,100,0.000824,26.13,0
247,local,82,10,64,32,4,100,0.00092,25.77,1
248,local,82,10,64,32,4,100,0.0009599999999999999,25.64,2
249,local,83,100,64,32,4,100,0.0044,26.1,0
250,local,83,100,64,32,4,100,0.00249,26.16,1
251,local,83,100,64,32,4,100,0.00292,26.23,2
252,local,84,1,8,64,4,100,0.00122,26.11,0
253,local,84,1,8,64,4,100,0.000743,25.54,1
254,local,84,1,8,64,4,100,0.000578,26.01,2
255,local,85,10,8,64,4,100,0.00101,26.13,0
256,local,85,10,8,64,4,100,0.00095,26.05,1
257,local,85,10,8,64,4,100,0.0009,26.03,2
258,local,86,100,8,64,4,100,0.0011799999999999998,26.36,0
259,local,86,100,8,64,4,100,0.0014299999999999998,26.02,1
260,local,86,100,8,64,4,100,0.000801,25.65,2
261,local,87,1,16,64,4,100,0.000597,26.16,0
262,local,87,1,16,64,4,100,0.00116,26.41,1
263,local,87,1,16,64,4,100,0.00145,25.97,2
264,local,88,10,16,64,4,100,0.00132,26.21,0
265,local,88,10,16,64,4,100,0.00049,25.79,1
266,local,88,10,16,64,4,100,0.00106,25.68,2
267,local,89,100,16,64,4,100,0.0016899999999999999,26.11,0
268,local,89,100,16,64,4,100,0.0014399999999999999,25.81,1
269,local,89,100,16,64,4,100,0.00182,25.95,2
270,local,90,1,32,64,4,100,0.000686,25.86,0
271,local,90,1,32,64,4,100,0.000466,25.88,1
